Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Chocolate Dreams,New Delhi,"Bakery, Desserts",3.0,400
Dial n Dine,New Delhi,"North Indian, Chinese",3.4,650
Fresh n Refresh,New Delhi,Fast Food,3.4,500
Garden Hut,New Delhi,"Chinese, Fast Food",3.1,250
Giani,New Delhi,"Ice Cream, Desserts",3.3,400
Jugnu Gaming Zone and Cafe,New Delhi,"Cafe, North Indian, Fast Food",2.9,600
Keventer's South Indian & Chinese Food,New Delhi,"Chinese, South Indian",2.8,200
KTS,New Delhi,Fast Food,3.3,250
Mandarin,New Delhi,Chinese,2.8,600
Penguin Bakers & Shakers,New Delhi,Fast Food,2.8,400
Rollmates,New Delhi,"Fast Food, North Indian, Chinese",3.2,200
Tandoori Nights,New Delhi,"Mughlai, North Indian",3.0,650
Burger Dominion,New Delhi,Fast Food,3.6,500
Cafe Gainz,New Delhi,Healthy Food,3.5,350
Chaskaa,New Delhi,"Chinese, North Indian, Italian",3.5,650
Fabulous Cake Bites,New Delhi,"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",3.6,400
Hangout - A House Of Kathis,New Delhi,Street Food,3.7,250
Malais By Anands,New Delhi,"North Indian, Chinese, South Indian, Fast Food",3.7,300
Panchwati Rasoi,New Delhi,"North Indian, Chinese",3.8,250
Sprinkles Cup & Cake,New Delhi,"Bakery, Desserts",3.6,300
Target Ice Cream & Bakers,New Delhi,"Desserts, Bakery, Pizza, Burger, Continental",3.6,350
The Sweeet Jar,New Delhi,"Cafe, Bakery",3.9,1000
Amar Bakery,New Delhi,"Bakery, Desserts, Fast Food, Mithai",0.0,500
Cafe Brewbug,New Delhi,"Fast Food, Beverages",0.0,350
Chilll House Kafe,New Delhi,Cafe,0.0,500
Cookie Shookie,New Delhi,Bakery,0.0,100
Fabulous Cake,New Delhi,Bakery,0.0,300
Jai Maa Shaarde Samose Wala,New Delhi,Street Food,0.0,100
Madaan Confectionery,New Delhi,Bakery,0.0,150
Magic Masala,New Delhi,"Chinese, South Indian, North Indian",0.0,500
Sikka Chinese Fast Food,New Delhi,"Chinese, Fast Food",0.0,300
Teedo's Cake Inn,New Delhi,"Cafe, Bakery",0.0,500
Thalaiva Cafe,New Delhi,"South Indian, Chinese",0.0,400
The Cake Affairs,New Delhi,"Bakery, Desserts",0.0,500
Tulsi Ram Chinese Hut,New Delhi,Chinese,0.0,200
V. K. Pasta,New Delhi,"Italian, Fast Food",0.0,600
Xpert Bakers,New Delhi,Bakery,0.0,250
Juniper Bar - Andaz Delhi,New Delhi,"North Indian, European",3.0,1500
McDonald's,New Delhi,"Fast Food, Burger",3.4,500
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",3.2,800
The Arena,New Delhi,"Continental, Asian, North Indian",3.4,1600
Restaurant De Seoul,New Delhi,"Japanese, Korean",3.6,2500
Taksim,New Delhi,Continental,3.9,1500
Jom Jom Malay,New Delhi,"Malaysian, Indonesian",4.4,1800
Kofuku,New Delhi,"Japanese, Asian",4.0,1500
The Sky High,New Delhi,"Continental, North Indian, Mughlai, Italian",4.1,1400
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Mithai, Fast Food",3.1,500
Jux Pux - The Dreamer's Cafe,New Delhi,"Beverages, Fast Food",3.1,350
Pizzaon,New Delhi,"Pizza, Fast Food",3.0,500
FFC Restaurant,New Delhi,Fast Food,0.0,250
"34, Chowringhee Lane",New Delhi,Fast Food,2.8,350
Aapni Dhani,New Delhi,"North Indian, Street Food",2.8,200
Bengal Sweet Corner,New Delhi,"North Indian, South Indian, Chinese, Fast Food, Mithai",2.8,500
Chicken Vicken,New Delhi,"North Indian, Chinese",3.4,600
Cup-a-licious,New Delhi,Bakery,3.2,200
Frontier,New Delhi,Bakery,3.0,200
Metro Fast Food,New Delhi,"Chinese, Fast Food",2.7,400
Nagpal's,New Delhi,Street Food,3.4,200
Nile Restro & Bar,New Delhi,"North Indian, Chinese",2.7,1000
Popular Chicken,New Delhi,"North Indian, Mughlai, Chinese",3.0,450
Sardar A Pure Meat Shop,New Delhi,"Raw Meats, Fast Food, North Indian",3.4,150
Shankar Fast Food,New Delhi,"Chinese, Fast Food",3.2,300
Singh's Zaika ,New Delhi,"North Indian, Chinese, Mughlai",3.0,500
The Mirch Masala,New Delhi,"North Indian, Chinese",3.0,700
The Mirch Masala,New Delhi,North Indian,3.2,650
Uncle Cake Shop,New Delhi,"Bakery, Desserts, Fast Food",3.1,300
Kays Bar-Be-Que,New Delhi,"North Indian, Mughlai",3.5,700
Master Bakers,New Delhi,"Bakery, Desserts, Chinese, Fast Food",3.7,350
The Master's Fast Food Centre,New Delhi,"Fast Food, Chinese, Bakery",3.5,400
6 Pack Momos,New Delhi,Chinese,0.0,300
Al Noor Foods,New Delhi,"North Indian, Mughlai",0.0,500
Avon Kitchen,New Delhi,"North Indian, Mughlai, Chinese",0.0,700
Bhasad Cafe,New Delhi,"Fast Food, Chinese",0.0,500
Bikaner Kesarvala,New Delhi,Mithai,0.0,100
De Bone Chicken,New Delhi,"Raw Meats, Fast Food",0.0,400
Indian Fresh Meat Shop,New Delhi,"Raw Meats, Fast Food",0.0,300
JD's Food Court,New Delhi,"North Indian, Chinese",0.0,550
Keventers,New Delhi,Beverages,0.0,400
Malhotra Bakery,New Delhi,"Bakery, Chinese",0.0,300
Matthi Wala,New Delhi,"Mithai, Street Food",0.0,150
Nirula's Ice Cream,New Delhi,"Ice Cream, Desserts",0.0,250
Punjabi Chaap Corner,New Delhi,"Fast Food, Chinese",0.0,400
Puran Dhaba,New Delhi,North Indian,0.0,200
Rama Desi Ghee Meat Wala,New Delhi,North Indian,0.0,650
VadaPav 'n' Frankie,New Delhi,Fast Food,0.0,100
Chhabra Sweets,New Delhi,Mithai,2.4,100
Kanwarji's,New Delhi,"Street Food, Chinese, North Indian, Mithai",2.9,300
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",3.4,1000
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",2.7,600
Smelling Salts,New Delhi,"North Indian, Chinese",3.3,1200
Wah Ji Wah,New Delhi,"North Indian, Chinese",2.6,350
Wheelyz,New Delhi,"North Indian, Chinese, Fast Food",2.5,550
Bell Pepperz,New Delhi,"Chinese, Italian, North Indian",3.9,1300
Bharat Sweets,New Delhi,"Mithai, Street Food",3.5,250
Invitation,New Delhi,"North Indian, Chinese",3.6,1300
Mystique Melange,New Delhi,"North Indian, Mughlai, Chinese, Continental",3.9,1800
Pandit Ji Paranthe Wale,New Delhi,North Indian,3.7,200
Raju Chat Palace,New Delhi,Street Food,3.9,200
Seasonings - The Spice Mysteries,New Delhi,"North Indian, Mughlai, Chinese, Italian",3.9,1200
SGF - Spice Grill Flame,New Delhi,"North Indian, Chinese",3.5,500
Apni Rasoi,New Delhi,North Indian,3.0,300
Bablu Kabab Shop,New Delhi,"North Indian, Mughlai",3.1,500
Cake o' Cuisine,New Delhi,Bakery,3.3,300
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.2,700
Hunger Flames,New Delhi,"Pizza, Fast Food, Chinese",3.4,500
Puran Chand Ambala Wale Di Hatti,New Delhi,"North Indian, Mughlai",3.3,600
The Cake Gallery,New Delhi,Bakery,3.3,500
Bablu Chic Inn,New Delhi,"Mughlai, North Indian",3.6,750
Masala Basket,New Delhi,"North Indian, South Indian, Street Food",3.6,400
Udta Punjab,New Delhi,"North Indian, Mughlai",3.5,600
Munch Nation,New Delhi,"Fast Food, Italian, Chinese",4.0,350
Bengali Pastry Shop & Snack Bar,New Delhi,"North Indian, South Indian, Chinese",3.2,550
Bhimsain's Bengali Sweet House,New Delhi,"North Indian, South Indian, Chinese, Street Food, Mithai",3.4,400
Cafe Coffee Day,New Delhi,Cafe,2.9,450
Colonel's Kababz,New Delhi,"North Indian, Fast Food",3.4,600
Faasos,New Delhi,"North Indian, Fast Food",2.8,600
Karachi Bakery,New Delhi,"Bakery, Mithai",3.0,200
Nathu's Sweets,New Delhi,"North Indian, South Indian, Street Food, Mithai",3.3,600
Sachdeva Confectioners,New Delhi,"North Indian, Chinese",3.1,550
Bengali Sweet House,New Delhi,"North Indian, Street Food, Chinese, South Indian, Mithai",3.6,400
Bijoli Grill,New Delhi,"Bengali, North Indian, Chinese",3.7,800
Nathu's Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",3.8,300
Balaji Dhaba,New Delhi,North Indian,0.0,200
Bhagat Ji,New Delhi,Fast Food,0.0,100
Hangout Kathi Rolls,New Delhi,Fast Food,0.0,200
Makers & Bakers,New Delhi,"Bakery, Desserts",0.0,350
Habibi Express,New Delhi,"Lebanese, Arabian, Moroccan",2.3,750
Cafe Coffee Day,New Delhi,Cafe,3.2,450
China Town,New Delhi,"Chinese, Fast Food",2.9,400
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.3,700
High Street Kitchen & Bar,New Delhi,North Indian,2.9,1200
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",3.1,1000
Sugar & Spice - Le Marche,New Delhi,"Bakery, Fast Food",3.0,800
The Kathis,New Delhi,"Fast Food, North Indian",2.8,300
The Kylin Experience,New Delhi,"Japanese, Chinese, Malaysian, Thai, Vietnamese",3.3,1700
Arabian Nites,New Delhi,Lebanese,3.5,450
Asia Kitchen,New Delhi,"Chinese, Thai, North Indian",3.7,1300
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",3.7,600
Krips Restaurant,New Delhi,"North Indian, Chinese",3.5,1000
McDonald's,New Delhi,"Fast Food, Burger",3.5,500
Yo! China,New Delhi,Chinese,3.5,1300
RPM,New Delhi,Finger Food,2.4,1800
By The Way - Bellagio,New Delhi,"Italian, Continental",2.9,1000
Red - Bellagio,New Delhi,Chinese,3.4,1500
Soul Curry - Bellagio,New Delhi,"North Indian, Mughlai",3.6,1100
Alpha 63,New Delhi,"North Indian, Chinese, Continental",2.7,1500
Bite-N-Sip,New Delhi,"North Indian, Street Food",2.6,300
Lotus Garden,New Delhi,"Chinese, Japanese, Thai",3.2,2000
Meethas Sweets,New Delhi,"Mithai, North Indian",2.8,200
Nirula's,New Delhi,"Fast Food, North Indian, Desserts, Ice Cream",2.5,1100
Punjabi Tadka,New Delhi,North Indian,2.8,250
Snack Bar,New Delhi,"North Indian, Mughlai",3.0,250
South Indian Food,New Delhi,South Indian,3.1,150
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.4,700
Southy,New Delhi,South Indian,2.4,400
Coffee Shop - Centaur Hotel,New Delhi,Cafe,0.0,1500
Al Kuresh,New Delhi,"Chinese, North Indian",3.3,850
Angan Bakery & Cafe,New Delhi,"Bakery, Italian, Fast Food, Chinese, Continental",2.9,600
Bamboo Chopstix,New Delhi,"Chinese, North Indian",2.7,700
Bawarchis,New Delhi,"Chinese, North Indian",2.9,700
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",3.4,450
Cafe Coffee Day,New Delhi,Cafe,3.0,450
Chanakya Bar-Be-Que,New Delhi,"Chinese, North Indian",3.2,800
Chattisgarh Bhawan,New Delhi,"North Indian, South Indian",2.7,450
Chimney,New Delhi,Chinese,2.9,800
China Town Sizzlers,New Delhi,Chinese,3.4,800
Chinese Bite,New Delhi,"Chinese, North Indian, Seafood",2.8,700
Chinese Garden,New Delhi,Chinese,3.2,900
Costa Coffee,New Delhi,Cafe,3.0,600
Food Point,New Delhi,Fast Food,2.8,200
Ikko,New Delhi,"North Indian, Mughlai",2.9,1650
Jammu And Kashmir House,New Delhi,"Kashmiri, North Indian",2.9,500
Laguna,New Delhi,"Chinese, North Indian",3.4,900
Momo Point,New Delhi,"Chinese, North Indian",3.2,700
New Zaika,New Delhi,"Chinese, North Indian",3.1,700
Organic Express,New Delhi,"Cafe, Healthy Food, North Indian",3.0,700
Tamil Nadu House Canteen,New Delhi,"South Indian, Chettinad, North Indian, Chinese",3.4,600
The Chocolate Avenue,New Delhi,Bakery,3.4,300
Chimney Sizzlers,New Delhi,Chinese,3.7,800
Gujarat Bhawan Restaurant,New Delhi,"Gujarati, South Indian, North Indian",3.7,400
ItÃ¤Ã³Â»s Sinful,New Delhi,"Bakery, Desserts",3.5,450
Jakoi,New Delhi,"Assamese, Chinese",3.5,600
Arunachal Bhawan,New Delhi,North Eastern,0.0,350
Hotel New Tamil Nadu,New Delhi,"South Indian, North Indian, Chinese",0.0,300
Milan Food,New Delhi,"Chinese, North Indian",0.0,650
Playboy Club,New Delhi,Finger Food,0.0,3000
Moti Mahal Delux,New Delhi,"North Indian, Mughlai",2.4,1600
The Treat,New Delhi,"North Indian, Mughlai, Chinese",2.1,500
Break Fast Point,New Delhi,North Indian,3.3,200
Breakfast Corner,New Delhi,North Indian,3.1,150
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.0,700
Frontier,New Delhi,Bakery,3.2,200
Prince Cafe,New Delhi,"South Indian, Chinese, Fast Food",2.9,300
Spicy Eleven,New Delhi,"North Indian, South Indian, Chinese",3.1,500
Vaishno Punjabi Dhaba,New Delhi,North Indian,3.0,400
Adarsh Bhojnalaya,New Delhi,North Indian,3.4,300
Al Haj Bakery,New Delhi,Bakery,3.0,150
Anmol Chicken,New Delhi,Mughlai,3.1,300
Babu Ram Paranthe Wale,New Delhi,North Indian,3.2,150
Bhaijaan Kababs,New Delhi,Mughlai,3.2,100
Bhikharam's,New Delhi,"Mithai, Fast Food",3.0,300
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",2.8,550
Brijwasi Bhoj,New Delhi,North Indian,3.1,200
Brijwasi Restaurant,New Delhi,"North Indian, Fast Food, Chinese, South Indian",3.2,400
Comesum,New Delhi,"North Indian, Street Food, Chinese, South Indian",2.5,350
Inderpuri Restaurant,New Delhi,North Indian,3.0,250
Kamdhenu Family Corner,New Delhi,"North Indian, South Indian",2.8,300
Khalsa Hindu Hotel,New Delhi,North Indian,2.9,450
Mahalaxmi Mishthan Bhandar,New Delhi,"Mithai, Street Food",3.3,100
McDonald's,New Delhi,"Fast Food, Burger",3.0,500
McDonald's,New Delhi,"Fast Food, Burger",3.0,500
Natraj Cafe,New Delhi,"North Indian, Fast Food, South Indian",3.4,300
Padam Chaat Corner,New Delhi,Street Food,3.0,100
Pandit Ved Prakash Lemon Wale,New Delhi,"Beverages, Street Food",3.2,50
Pt. Babu Ram Devi Dayal Paranthe Wale,New Delhi,North Indian,3.0,150
Rabri Bhandar,New Delhi,Mithai,3.2,150
Ram Parshad Makhan Lal,New Delhi,Mithai,3.4,100
Rambhoj,New Delhi,"North Indian, South Indian",2.9,150
Rehmatullah's Hotel,New Delhi,Mughlai,3.0,100
Sharma Bhojnalay,New Delhi,North Indian,3.0,100
Shree Balaji Chaat Bhandar,New Delhi,Street Food,3.2,100
Shri Duli Chand Naresh Gupta,New Delhi,Desserts,3.4,100
Shri Hari Sharnam,New Delhi,"North Indian, South Indian",3.1,400
Sindhi Chicken,New Delhi,North Indian,2.9,400
Soni Bhojnalaya,New Delhi,North Indian,3.0,300
Super Restaurant,New Delhi,North Indian,2.9,250
Tiwari Ji Confectioner,New Delhi,Street Food,3.1,100
Wah Ji Wah,New Delhi,"North Indian, Chinese",2.8,450
Zaika Mughlai Foods,New Delhi,"Mughlai, Biryani",3.3,550
Al Yousuf,New Delhi,Mughlai,3.7,200
Amritsari Lassi Wala,New Delhi,Beverages,3.8,100
Annapurna Bhandar,New Delhi,Mithai,3.8,100
Bishan Swaroop Chaat Bhandar,New Delhi,Street Food,3.7,150
Gole Hatti,New Delhi,North Indian,3.8,150
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.9,600
Kanwarji's,New Delhi,"Street Food, Chinese, North Indian, Mithai",3.9,300
Kedarnath Prem Chand Halwai,New Delhi,"Mithai, Street Food",3.7,100
Keventers,New Delhi,Beverages,3.7,400
Khan Omelette Corner,New Delhi,Fast Food,3.6,150
Natraj Dahi Bhalle Wala,New Delhi,Street Food,3.9,100
Old Famous Jalebi Wala,New Delhi,"Mithai, Street Food",3.9,100
Pt. Gaya Prasad Shiv Charan Paranthe Wale,New Delhi,North Indian,3.6,150
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,New Delhi,North Indian,3.6,150
Shiv Misthan Bhandar,New Delhi,"Mithai, Street Food",3.8,100
Special Jalebi Wala,New Delhi,Mithai,3.5,100
Tewari Bros Confectioners,New Delhi,"Street Food, North Indian, South Indian, Mithai",3.5,200
Annapurna Chaat & Sweets,New Delhi,Street Food,0.0,100
Delhi-6 The Chicken Planet,New Delhi,"Biryani, Mughlai",0.0,300
Dessi Food,New Delhi,Street Food,0.0,100
Foody Dragon,New Delhi,Chinese,0.0,300
Grover Eating Point,New Delhi,North Indian,0.0,200
Hotel 121 Shakahari,New Delhi,North Indian,0.0,300
Lala Chaap Corner,New Delhi,Fast Food,0.0,200
Meghraj & Sons,New Delhi,"Street Food, Mithai",0.0,200
Old Kheer Shop,New Delhi,Desserts,0.0,100
Punjabi Chicken,New Delhi,North Indian,0.0,400
Ratan Singh,New Delhi,Mithai,0.0,50
Shri Bhujia Bhandar,New Delhi,"Street Food, Mithai",0.0,100
Chaina Ram Sindhi Confectioners,New Delhi,"Mithai, Street Food",4.2,200
Giani's di Hatti,New Delhi,"Ice Cream, Mithai, North Indian, Street Food",4.3,150
Jung Bahadur Kachori Wala,New Delhi,Street Food,4.1,50
Lakhori - Haveli Dharampura,New Delhi,"Mughlai, Street Food",4.4,3000
Milk n More,New Delhi,"Desserts, Street Food",3.1,100
Kuremal Mohan Lal Kulfi Wale,New Delhi,Ice Cream,4.5,200
Hira Chaat Corner,New Delhi,Street Food,3.6,100
Kuremal Mahavir Prasad Kulfi Wale,New Delhi,Ice Cream,3.9,300
Shakahari Restaurant,New Delhi,North Indian,3.6,300
Shri Gujrat Namkeen Bhandar,New Delhi,"Street Food, Mithai",3.6,100
Standard Sweets,New Delhi,"Mithai, North Indian",3.6,200
Sudarshan,New Delhi,"Street Food, Beverages",3.7,150
Ustad Moinuddin Kebab,New Delhi,Fast Food,3.7,100
Ashok Chaat Corner,New Delhi,Street Food,4.1,100
Jain Coffee House,New Delhi,"Fast Food, Beverages",4.1,150
Shyam Sweets,New Delhi,"Mithai, Street Food",4.1,150
Spicy Food Court,New Delhi,"North Indian, Mughlai, Chinese",2.7,500
Aristocrat Sweet Shop,New Delhi,"Mithai, Bakery",3.1,300
Balluchi's - The Royal Cuisine,New Delhi,"North Indian, Mughlai, Chinese",3.0,800
Bunty Dhaba,New Delhi,"North Indian, Chinese",3.2,500
Gopal's Restaurant & Caterer's,New Delhi,"North Indian, Fast Food",2.7,300
Horn Please,New Delhi,"North Indian, Mughlai, Chinese",3.0,1000
Khatey Raho,New Delhi,"North Indian, Mughlai, Fast Food, South Indian",3.3,250
Kolkata Biryani House,New Delhi,"North Indian, Mughlai, Biryani",3.4,500
Kolkata Hot Kathi Roll,New Delhi,Fast Food,3.2,150
Madly Bangalee,New Delhi,"Mughlai, North Indian, Bengali, Continental",2.7,400
Oh! China,New Delhi,"Chinese, Thai",2.9,600
Punjabi Zaika,New Delhi,"Chinese, Mughlai, North Indian",2.9,500
Rabi Snacks Corner,New Delhi,Fast Food,3.4,300
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",2.7,400
Roll n Roast,New Delhi,"North Indian, Chinese",3.3,250
Roller's High,New Delhi,"North Indian, Mughlai",3.2,500
Royal Chick 'N',New Delhi,"Mughlai, North Indian, Chinese",3.3,300
Royal Kolkata Biryani,New Delhi,"North Indian, Chinese, Biryani",2.7,500
Sameer's Restaurant,New Delhi,"North Indian, Mughlai, Chinese",2.5,600
Sanjha Chulha,New Delhi,"North Indian, Mughlai",2.7,550
Shepherd's,New Delhi,Fast Food,3.1,250
Soya King,New Delhi,North Indian,2.6,350
Tasty Tonight,New Delhi,"North Indian, Mughlai, Chinese",3.1,1000
The Mustard,New Delhi,Bengali,2.9,500
Tibb's Frankie,New Delhi,Fast Food,3.2,250
Wazwaan Restaurant,New Delhi,"North Indian, Kashmiri",3.2,1200
Yummi Kolkataa,New Delhi,Mithai,3.2,150
Annapurna Sweet House,New Delhi,"Mithai, Street Food",3.7,150
Ashirbad,New Delhi,Fast Food,3.6,100
Chocolatiers - The Chocolate Boutique,New Delhi,Desserts,3.8,100
Dadu Cutlet Shop,New Delhi,Fast Food,3.7,100
Dogs & Wiches,New Delhi,"Continental, American, Fast Food",3.9,600
Maa Tara,New Delhi,"Bengali, North Indian",3.6,500
My Spice Kitchen,New Delhi,"North Indian, Mughlai, Biryani, Bengali",3.5,650
The Singing Tree,New Delhi,Beverages,3.7,100
Baba Chicken Ludhiana Wale,New Delhi,North Indian,0.0,400
Bengal Snacks,New Delhi,Fast Food,0.0,300
Brownies & More,New Delhi,"Bakery, Fast Food",0.0,100
Cafe Coffee Day,New Delhi,Cafe,0.0,450
Craving Cure,New Delhi,Chinese,0.0,300
Cuisine,New Delhi,"North Indian, Mughlai, Chinese",0.0,1500
Food Nation,New Delhi,"North Indian, Chinese",0.0,400
Kamala Fast Food & Chinese,New Delhi,"Fast Food, Chinese",0.0,300
Lokenath Sweets,New Delhi,Mithai,0.0,150
Me and My Cake,New Delhi,"Bakery, Desserts",0.0,500
Chulha Punjabi Da,New Delhi,"North Indian, Chinese, Fast Food",2.4,600
Viva Hyderabad,New Delhi,"Biryani, North Indian",2.3,600
Metro Grill,New Delhi,"North Indian, Mughlai, Chinese",3.4,1200
Cafe Cruise,New Delhi,"Continental, North Indian, Chinese",2.8,1300
Etal The Lounge Bar,New Delhi,"North Indian, Italian, Fast Food",3.2,2000
"Game of Legends - Sports Bar, Grill, & Lounge",New Delhi,"North Indian, Chinese, Continental, Italian",3.5,1450
Al-raaya,New Delhi,"Mughlai, North Indian",3.1,600
Authentique Bites,New Delhi,"Bakery, Desserts",3.2,300
Embassy,New Delhi,"Chinese, North Indian, Mughlai",3.0,1200
Narang's Bake 'n' Cake,New Delhi,"Bakery, Desserts, Fast Food",3.0,400
New Darvesh,New Delhi,"Chinese, South Indian",3.0,150
1UP,New Delhi,"Cafe, Italian, Continental",3.5,1200
Gujarati Samaj Santushti,New Delhi,Gujarati,3.6,300
